action_id,loan_id,customer_id,collector_id,action_date,action_type,action_result,promise_to_pay_date,promise_amount,next_follow_up_date
A00000773,L000634,C02264,CL023,2025-11-15,Call,No Answer,,,2025-11-22
A00000774,L000634,C02264,CL016,2025-12-06,Call,Refused,,,2025-12-14
A00000775,L000634,C02264,CL020,2025-11-22,Call,No Answer,,,2025-11-29
A00000776,L000634,C02264,CL019,2025-10-24,SMS,No Answer,,,2025-10-31
A00000777,L000634,C02264,CL018,2025-09-18,SMS,No Answer,,,2025-09-20
A00000778,L000635,C01393,CL010,2025-12-31,SMS,Paid,,,2026-01-02
A00000779,L000635,C01393,CL010,2025-12-31,Call,Promise to Pay,2026-01-12,198808,2026-01-09
A00000780,L000635,C01393,CL013,2025-12-31,Call,No Answer,,,2026-01-06
A00000781,L000647,C00962,CL021,2025-12-05,Call,Paid,,,2025-12-14
A00000782,L000647,C00962,CL025,2025-12-04,Call,No Answer,,,2025-12-09
A00000783,L000647,C00962,CL028,2025-12-22,SMS,Refused,,,2025-12-31
A00000784,L000647,C00962,CL030,2025-12-03,SMS,No Answer,,,2025-12-12
A00000785,L000648,C01218,CL015,2025-11-27,Call,Promise to Pay,2025-12-03,2756243,2025-12-06
A00000786,L000648,C01218,CL002,2025-11-18,SMS,Promise to Pay,2025-11-20,601977,2025-11-22
A00000787,L000659,C01267,CL017,2025-12-10,Call,Refused,,,2025-12-11
A00000788,L000659,C01267,CL028,2025-12-17,Push,No Answer,,,2025-12-27
A00000789,L000668,C02410,CL001,2025-12-21,Email,Rescheduled,,,2025-12-23
A00000790,L000670,C02293,CL020,2025-11-16,SMS,No Answer,,,2025-11-21
A00000791,L000670,C02293,CL027,2025-11-25,Call,Promise to Pay,2025-11-28,1104018,2025-11-30
A00000792,L000670,C02293,CL016,2025-12-11,Call,No Answer,,,2025-12-12
A00000793,L000670,C02293,CL021,2025-11-21,Call,Wrong Number,,,2025-11-27
A00000794,L000670,C02293,CL023,2025-11-24,Call,Promise to Pay,2025-11-28,5213364,2025-11-27
A00000795,L000670,C02293,CL030,2025-11-29,Call,Promise to Pay,2025-12-06,2509750,2025-12-09
A00000796,L000670,C02293,CL021,2025-12-01,Push,No Answer,,,2025-12-11
A00000797,L000676,C01643,CL020,2025-08-10,Push,Promise to Pay,2025-08-22,281595,2025-08-20
A00000798,L000676,C01643,CL029,2025-08-26,SMS,No Answer,,,2025-09-03
A00000799,L000676,C01643,CL042,2025-09-30,Call,Refused,,,2025-10-07
A00000800,L000676,C01643,CL042,2025-09-23,Call,Wrong Number,,,2025-09-24
A00000801,L000676,C01643,CL022,2025-08-24,Call,Refused,,,2025-08-25
A00000802,L000676,C01643,CL029,2025-09-09,Call,Paid,,,2025-09-10
A00000803,L000676,C01643,CL025,2025-09-01,Call,Promise to Pay,2025-09-03,216022,2025-09-04
A00000804,L000676,C01643,CL031,2025-07-08,Call,No Answer,,,2025-07-15
A00000805,L000676,C01643,CL026,2025-10-03,Email,Promise to Pay,2025-10-09,640661,2025-10-06
A00000806,L000676,C01643,CL035,2025-09-22,Push,No Answer,,,2025-10-01
A00000807,L000676,C01643,CL035,2025-10-01,Call,No Answer,,,2025-10-09
A00000808,L000676,C01643,CL018,2025-10-01,Field Visit,Paid,,,2025-10-02
A00000809,L000684,C00941,CL010,2025-12-14,Email,No Answer,,,2025-12-19
A00000810,L000684,C00941,CL006,2025-12-10,Call,Promise to Pay,2025-12-12,117800,2025-12-17
A00000811,L000686,C01572,CL006,2025-12-31,SMS,Paid,,,2026-01-01
A00000812,L000686,C01572,CL008,2025-12-31,Call,Paid,,,2026-01-06
A00000813,L000686,C01572,CL002,2025-12-31,Push,Rescheduled,,,2026-01-10
A00000814,L000691,C00110,CL001,2025-12-26,Push,Promise to Pay,2025-12-28,202008,2025-12-31
A00000815,L000691,C00110,CL001,2025-12-17,Call,Paid,,,2025-12-27
A00000816,L000691,C00110,CL011,2025-12-16,SMS,Promise to Pay,2025-12-20,420943,2025-12-17
A00000817,L000693,C00680,CL008,2025-11-29,Call,Refused,,,2025-12-08
A00000818,L000693,C00680,CL015,2025-11-27,Call,Promise to Pay,2025-12-03,3958221,2025-12-05
A00000819,L000696,C00264,CL007,2025-12-31,Call,Promise to Pay,2026-01-07,146775,2026-01-03
A00000820,L000696,C00264,CL005,2025-12-30,Call,Refused,,,2026-01-01
A00000821,L000696,C00264,CL001,2025-12-30,Push,Wrong Number,,,2026-01-08
A00000822,L000703,C01476,CL021,2025-11-04,Call,No Answer,,,2025-11-08
A00000823,L000703,C01476,CL019,2025-11-21,Call,Refused,,,2025-12-01
A00000824,L000703,C01476,CL016,2025-11-22,Call,Promise to Pay,2025-12-06,404947,2025-11-29
A00000825,L000703,C01476,CL016,2025-12-02,Push,Refused,,,2025-12-04
A00000826,L000703,C01476,CL017,2025-12-04,Call,Promise to Pay,2025-12-11,2722293,2025-12-13
A00000827,L000708,C01215,CL018,2025-12-08,Call,No Answer,,,2025-12-11
A00000828,L000708,C01215,CL030,2025-11-01,Call,Paid,,,2025-11-08
A00000829,L000708,C01215,CL016,2025-10-27,Push,No Answer,,,2025-11-02
A00000830,L000708,C01215,CL021,2025-11-09,Field Visit,Refused,,,2025-11-17
A00000831,L000708,C01215,CL030,2025-12-05,Call,No Answer,,,2025-12-12
A00000832,L000708,C01215,CL019,2025-11-29,Call,No Answer,,,2025-12-05
A00000833,L000708,C01215,CL025,2025-10-25,SMS,Rescheduled,,,2025-11-04
A00000834,L000710,C02182,CL019,2025-11-27,Call,Paid,,,2025-12-04
A00000835,L000710,C02182,CL024,2025-11-30,SMS,Rescheduled,,,2025-12-05
A00000836,L000710,C02182,CL027,2025-12-13,SMS,Paid,,,2025-12-20
A00000837,L000710,C02182,CL024,2025-12-20,Call,No Answer,,,2025-12-28
A00000838,L000710,C02182,CL027,2025-11-23,Call,Wrong Number,,,2025-12-02
A00000839,L000712,C01969,CL030,2025-10-10,Push,No Answer,,,2025-10-12
A00000840,L000712,C01969,CL037,2025-10-01,Call,No Answer,,,2025-10-10
A00000841,L000712,C01969,CL045,2025-09-06,Call,No Answer,,,2025-09-07
A00000842,L000712,C01969,CL032,2025-10-06,Push,Rescheduled,,,2025-10-12
A00000843,L000712,C01969,CL035,2025-10-03,SMS,No Answer,,,2025-10-08
A00000844,L000712,C01969,CL037,2025-09-28,Call,No Answer,,,2025-10-05
A00000845,L000712,C01969,CL035,2025-08-01,Email,No Answer,,,2025-08-10
A00000846,L000712,C01969,CL043,2025-09-19,Call,Paid,,,2025-09-22
A00000847,L000712,C01969,CL021,2025-09-05,Call,Promise to Pay,2025-09-08,221258,2025-09-08
A00000848,L000715,C00150,CL021,2025-10-22,Push,No Answer,,,2025-10-30
A00000849,L000715,C00150,CL029,2025-10-05,Field Visit,Paid,,,2025-10-13
A00000850,L000715,C00150,CL030,2025-10-21,Call,Paid,,,2025-10-27
A00000851,L000726,C01212,CL007,2025-12-27,Call,No Answer,,,2026-01-04
A00000852,L000734,C00970,CL023,2025-11-23,Field Visit,Wrong Number,,,2025-11-29
A00000853,L000734,C00970,CL028,2025-11-11,Call,Promise to Pay,2025-11-19,229161,2025-11-13
A00000854,L000734,C00970,CL017,2025-10-21,Push,Promise to Pay,2025-10-27,340686,2025-10-25
A00000855,L000734,C00970,CL016,2025-12-04,Call,No Answer,,,2025-12-13
A00000856,L000734,C00970,CL024,2025-11-08,Call,No Answer,,,2025-11-17
A00000857,L000734,C00970,CL022,2025-12-19,Email,Wrong Number,,,2025-12-23
A00000858,L000755,C00934,CL010,2025-12-23,Email,Promise to Pay,2026-01-06,678515,2025-12-26
A00000859,L000755,C00934,CL006,2025-12-19,Push,Rescheduled,,,2025-12-26
A00000860,L000755,C00934,CL010,2025-12-17,Call,Refused,,,2025-12-22
A00000861,L000756,C00326,CL001,2025-12-13,Field Visit,Refused,,,2025-12-16
A00000862,L000756,C00326,CL008,2025-12-12,SMS,Paid,,,2025-12-16
A00000863,L000771,C01163,CL014,2025-12-16,Push,Wrong Number,,,2025-12-17
A00000864,L000771,C01163,CL012,2025-12-17,Call,No Answer,,,2025-12-22
A00000865,L000771,C01163,CL004,2025-12-13,Call,Promise to Pay,2025-12-24,1555659,2025-12-23
A00000866,L000771,C01163,CL012,2025-12-15,SMS,Rescheduled,,,2025-12-23
A00000867,L000781,C02217,CL009,2025-11-27,Email,No Answer,,,2025-12-03
A00000868,L000781,C02217,CL011,2025-12-11,Call,Refused,,,2025-12-17
A00000869,L000786,C00546,CL017,2025-12-01,Call,Paid,,,2025-12-11
A00000870,L000786,C00546,CL022,2025-11-15,Call,Wrong Number,,,2025-11-19
A00000871,L000786,C00546,CL018,2025-12-05,Call,Refused,,,2025-12-14
A00000872,L000786,C00546,CL017,2025-12-18,SMS,Refused,,,2025-12-23
A00000873,L000787,C01259,CL016,2025-11-05,Call,Paid,,,2025-11-15
A00000874,L000787,C01259,CL017,2025-11-30,SMS,Rescheduled,,,2025-12-01
A00000875,L000787,C01259,CL026,2025-12-05,Email,No Answer,,,2025-12-10
A00000876,L000787,C01259,CL020,2025-12-03,Call,Refused,,,2025-12-08
A00000877,L000787,C01259,CL020,2025-12-16,Call,Rescheduled,,,2025-12-24
A00000878,L000787,C01259,CL023,2025-12-03,Field Visit,Refused,,,2025-12-12
A00000879,L000787,C01259,CL025,2025-11-19,SMS,No Answer,,,2025-11-24
A00000880,L000787,C01259,CL023,2025-11-18,Push,Rescheduled,,,2025-11-20
A00000881,L000788,C00704,CL027,2025-11-19,Push,Promise to Pay,2025-11-28,140020,2025-11-28
A00000882,L000788,C00704,CL017,2025-10-06,Call,Paid,,,2025-10-10
A00000883,L000788,C00704,CL023,2025-12-02,Field Visit,Refused,,,2025-12-09
A00000884,L000788,C00704,CL021,2025-12-02,Email,No Answer,,,2025-12-11
A00000885,L000788,C00704,CL023,2025-12-01,SMS,No Answer,,,2025-12-08
A00000886,L000792,C00946,CL028,2025-12-24,SMS,No Answer,,,2025-12-28
A00000887,L000792,C00946,CL017,2025-10-28,SMS,No Answer,,,2025-11-06
A00000888,L000794,C00806,CL030,2025-12-08,Call,Promise to Pay,2025-12-09,1288849,2025-12-17
A00000889,L000794,C00806,CL019,2025-11-09,Call,Paid,,,2025-11-13
A00000890,L000794,C00806,CL027,2025-12-06,Call,No Answer,,,2025-12-12
A00000891,L000798,C01756,CL020,2025-12-20,SMS,No Answer,,,2025-12-26
A00000892,L000798,C01756,CL027,2025-12-08,Call,Paid,,,2025-12-18
A00000893,L000799,C02122,CL019,2025-12-31,Email,Rescheduled,,,2026-01-01
A00000894,L000799,C02122,CL025,2025-12-31,Call,Wrong Number,,,2026-01-01
A00000895,L000799,C02122,CL026,2025-12-30,Call,Wrong Number,,,2026-01-05
A00000896,L000802,C02292,CL007,2025-11-27,Call,Paid,,,2025-12-02
A00000897,L000802,C02292,CL015,2025-11-29,Field Visit,No Answer,,,2025-12-02
A00000898,L000802,C02292,CL005,2025-12-03,Call,No Answer,,,2025-12-06
A00000899,L000802,C02292,CL013,2025-12-13,Push,No Answer,,,2025-12-16
A00000900,L000802,C02292,CL008,2025-11-29,Call,Refused,,,2025-12-09
A00000901,L000807,C00268,CL018,2025-12-19,Call,No Answer,,,2025-12-28
A00000902,L000807,C00268,CL028,2025-12-01,SMS,Refused,,,2025-12-06
A00000903,L000807,C00268,CL021,2025-11-11,SMS,Promise to Pay,2025-11-21,890652,2025-11-18
A00000904,L000807,C00268,CL018,2025-12-01,Email,No Answer,,,2025-12-08
A00000905,L000807,C00268,CL023,2025-11-15,Call,No Answer,,,2025-11-16
A00000906,L000807,C00268,CL028,2025-11-18,Call,Promise to Pay,2025-11-22,4622636,2025-11-23
A00000907,L000807,C00268,CL026,2025-11-14,Field Visit,Paid,,,2025-11-19
A00000908,L000807,C00268,CL019,2025-12-16,Call,Rescheduled,,,2025-12-17
A00000909,L000814,C01307,CL023,2025-11-22,Call,Refused,,,2025-12-01
A00000910,L000814,C01307,CL029,2025-12-19,Call,Promise to Pay,2025-12-31,2760965,2025-12-28
A00000911,L000814,C01307,CL016,2025-11-28,Email,No Answer,,,2025-12-06
A00000912,L000814,C01307,CL020,2025-12-07,Call,Refused,,,2025-12-09
A00000913,L000814,C01307,CL020,2025-11-12,Push,Paid,,,2025-11-17
A00000914,L000814,C01307,CL019,2025-11-18,Push,Promise to Pay,2025-11-29,480011,2025-11-27
A00000915,L000814,C01307,CL027,2025-11-12,Call,Refused,,,2025-11-22
A00000916,L000814,C01307,CL025,2025-11-23,Push,Refused,,,2025-12-02
A00000917,L000815,C02492,CL038,2025-10-14,Call,Rescheduled,,,2025-10-15
A00000918,L000815,C02492,CL017,2025-11-06,SMS,Rescheduled,,,2025-11-07
A00000919,L000815,C02492,CL042,2025-10-18,SMS,No Answer,,,2025-10-28
A00000920,L000821,C02125,CL023,2025-11-28,Call,Paid,,,2025-12-03
A00000921,L000821,C02125,CL019,2025-12-24,Push,Paid,,,2025-12-26
A00000922,L000821,C02125,CL024,2025-12-23,Call,Paid,,,2025-12-29
A00000923,L000821,C02125,CL028,2025-11-23,Email,Promise to Pay,2025-11-30,747917,2025-12-03
A00000924,L000821,C02125,CL029,2025-12-02,Push,No Answer,,,2025-12-08
A00000925,L000821,C02125,CL021,2025-11-30,SMS,Promise to Pay,2025-12-01,1322972,2025-12-06
A00000926,L000822,C02449,CL006,2025-12-11,Call,Rescheduled,,,2025-12-19
A00000927,L000822,C02449,CL015,2025-12-07,Push,No Answer,,,2025-12-10
A00000928,L000822,C02449,CL003,2025-12-06,Push,Paid,,,2025-12-10
A00000929,L000822,C02449,CL003,2025-12-10,SMS,No Answer,,,2025-12-13
A00000930,L000822,C02449,CL009,2025-12-11,Push,No Answer,,,2025-12-14
A00000931,L000825,C00416,CL014,2025-12-05,Call,No Answer,,,2025-12-08
A00000932,L000825,C00416,CL014,2025-12-07,SMS,Paid,,,2025-12-12
A00000933,L000825,C00416,CL011,2025-12-06,Field Visit,Paid,,,2025-12-15
A00000934,L000825,C00416,CL008,2025-12-07,SMS,Promise to Pay,2025-12-17,184761,2025-12-08
A00000935,L000827,C01579,CL023,2025-12-09,Call,Promise to Pay,2025-12-18,1642072,2025-12-17
A00000936,L000827,C01579,CL030,2025-12-12,Call,Promise to Pay,2025-12-17,4726733,2025-12-15
A00000937,L000828,C00244,CL027,2025-12-03,Call,No Answer,,,2025-12-11
A00000938,L000828,C00244,CL027,2025-10-28,Email,Refused,,,2025-10-30
A00000939,L000828,C00244,CL020,2025-12-30,Call,No Answer,,,2026-01-01
A00000940,L000830,C02081,CL019,2025-12-12,Email,No Answer,,,2025-12-15
A00000941,L000830,C02081,CL016,2025-11-09,Field Visit,Paid,,,2025-11-10
A00000942,L000830,C02081,CL030,2025-11-13,Call,Promise to Pay,2025-11-14,140570,2025-11-21
A00000943,L000832,C01409,CL040,2025-11-25,Field Visit,Rescheduled,,,2025-11-26
A00000944,L000832,C01409,CL029,2025-09-26,SMS,Rescheduled,,,2025-10-04
A00000945,L000832,C01409,CL033,2025-11-27,Call,No Answer,,,2025-11-29
A00000946,L000832,C01409,CL031,2025-09-03,Email,Wrong Number,,,2025-09-10
A00000947,L000832,C01409,CL044,2025-11-03,Call,Promise to Pay,2025-11-06,138686,2025-11-10
A00000948,L000833,C01668,CL011,2025-12-15,Push,No Answer,,,2025-12-19
A00000949,L000833,C01668,CL006,2025-11-25,SMS,Paid,,,2025-12-05
A00000950,L000833,C01668,CL015,2025-11-24,Call,Rescheduled,,,2025-11-26
A00000951,L000833,C01668,CL014,2025-12-05,SMS,No Answer,,,2025-12-07
A00000952,L000839,C01203,CL010,2025-11-30,SMS,Promise to Pay,2025-12-13,1356901,2025-12-07
A00000953,L000839,C01203,CL010,2025-12-13,SMS,Rescheduled,,,2025-12-21
A00000954,L000840,C02213,CL038,2025-07-21,Push,Wrong Number,,,2025-07-25
A00000955,L000840,C02213,CL033,2025-08-02,Call,Wrong Number,,,2025-08-12
A00000956,L000840,C02213,CL027,2025-07-12,Call,Promise to Pay,2025-07-15,255466,2025-07-22
A00000957,L000840,C02213,CL020,2025-08-25,Call,Refused,,,2025-08-28
A00000958,L000840,C02213,CL041,2025-09-11,Call,Promise to Pay,2025-09-24,1037267,2025-09-18
A00000959,L000840,C02213,CL042,2025-09-13,Push,Promise to Pay,2025-09-21,1101323,2025-09-18
A00000960,L000840,C02213,CL033,2025-10-06,Push,No Answer,,,2025-10-10
A00000961,L000840,C02213,CL016,2025-09-02,Field Visit,Refused,,,2025-09-09
A00000962,L000840,C02213,CL039,2025-07-22,SMS,Paid,,,2025-08-01
A00000963,L000840,C02213,CL026,2025-07-17,SMS,Wrong Number,,,2025-07-23
A00000964,L000840,C02213,CL028,2025-08-02,Call,No Answer,,,2025-08-11
A00000965,L000841,C01622,CL026,2025-09-09,Call,No Answer,,,2025-09-14
A00000966,L000841,C01622,CL028,2025-09-18,Email,Refused,,,2025-09-25
A00000967,L000841,C01622,CL035,2025-08-15,Call,Rescheduled,,,2025-08-17
A00000968,L000841,C01622,CL028,2025-10-10,Field Visit,Paid,,,2025-10-18
A00000969,L000841,C01622,CL032,2025-07-26,Email,Paid,,,2025-07-30
A00000970,L000841,C01622,CL045,2025-09-24,SMS,Promise to Pay,2025-09-28,468667,2025-09-26
A00000971,L000841,C01622,CL024,2025-09-10,Push,Refused,,,2025-09-16
A00000972,L000841,C01622,CL030,2025-10-04,SMS,No Answer,,,2025-10-07
A00000973,L000841,C01622,CL019,2025-09-11,SMS,Paid,,,2025-09-13
A00000974,L000841,C01622,CL018,2025-07-20,SMS,Rescheduled,,,2025-07-28
A00000975,L000841,C01622,CL036,2025-07-24,Call,Rescheduled,,,2025-07-28
A00000976,L000841,C01622,CL028,2025-09-02,SMS,No Answer,,,2025-09-09
A00000977,L000842,C00735,CL003,2025-12-12,Call,Refused,,,2025-12-16
A00000978,L000842,C00735,CL009,2025-12-23,SMS,No Answer,,,2025-12-29
A00000979,L000853,C01933,CL010,2025-12-12,SMS,No Answer,,,2025-12-20
A00000980,L000853,C01933,CL009,2025-12-10,Email,Promise to Pay,2025-12-14,6561710,2025-12-14
A00000981,L000853,C01933,CL005,2025-12-09,Push,Paid,,,2025-12-13
A00000982,L000856,C01079,CL023,2025-12-05,SMS,Rescheduled,,,2025-12-13
A00000983,L000856,C01079,CL018,2025-12-26,Call,Rescheduled,,,2026-01-02
A00000984,L000856,C01079,CL022,2025-12-25,Call,No Answer,,,2026-01-04
A00000985,L000856,C01079,CL024,2025-12-24,Call,No Answer,,,2025-12-29
A00000986,L000857,C01890,CL002,2025-12-28,Call,Promise to Pay,2026-01-05,386740,2026-01-04
A00000987,L000857,C01890,CL012,2025-12-27,SMS,Promise to Pay,2026-01-07,309899,2025-12-31
A00000988,L000857,C01890,CL004,2025-12-27,SMS,No Answer,,,2025-12-31
A00000989,L000857,C01890,CL011,2025-12-28,Call,Promise to Pay,2026-01-07,891851,2025-12-31
A00000990,L000860,C02075,CL009,2025-12-08,Call,Paid,,,2025-12-09
A00000991,L000860,C02075,CL015,2025-12-22,SMS,Refused,,,2025-12-30
A00000992,L000860,C02075,CL014,2025-12-19,Call,No Answer,,,2025-12-29
A00000993,L000861,C00523,CL006,2025-12-18,Call,Refused,,,2025-12-19
A00000994,L000861,C00523,CL005,2025-12-24,Push,Refused,,,2025-12-31
A00000995,L000861,C00523,CL009,2025-12-17,SMS,Refused,,,2025-12-21
A00000996,L000863,C00027,CL007,2025-12-16,Push,Refused,,,2025-12-23
A00000997,L000863,C00027,CL014,2025-12-19,Call,Wrong Number,,,2025-12-25
A00000998,L000866,C02335,CL011,2025-12-21,Push,Promise to Pay,2025-12-29,867871,2025-12-27
A00000999,L000866,C02335,CL004,2025-12-25,Push,Rescheduled,,,2025-12-29
A00001000,L000866,C02335,CL008,2025-12-26,Field Visit,Paid,,,2026-01-04
A00001001,L000866,C02335,CL003,2025-12-21,SMS,Refused,,,2025-12-30
A00001002,L000867,C01136,CL026,2025-11-23,SMS,Promise to Pay,2025-12-04,882956,2025-12-01
A00001003,L000867,C01136,CL017,2025-10-16,SMS,No Answer,,,2025-10-20
A00001004,L000867,C01136,CL030,2025-12-02,Push,No Answer,,,2025-12-03
A00001005,L000867,C01136,CL029,2025-10-16,SMS,Refused,,,2025-10-24
A00001006,L000871,C02129,CL027,2025-12-04,Field Visit,Wrong Number,,,2025-12-08
A00001007,L000871,C02129,CL030,2025-11-01,Push,No Answer,,,2025-11-07
A00001008,L000871,C02129,CL022,2025-11-07,Call,No Answer,,,2025-11-10
A00001009,L000871,C02129,CL018,2025-10-28,Push,Paid,,,2025-10-30
A00001010,L000871,C02129,CL030,2025-10-22,Call,No Answer,,,2025-10-29
A00001011,L000871,C02129,CL024,2025-12-10,Call,Paid,,,2025-12-18
A00001012,L000873,C02008,CL044,2025-09-03,Push,No Answer,,,2025-09-08
A00001013,L000873,C02008,CL020,2025-10-18,Call,Wrong Number,,,2025-10-21
A00001014,L000873,C02008,CL022,2025-09-24,Field Visit,Refused,,,2025-09-30
A00001015,L000873,C02008,CL033,2025-10-15,SMS,Refused,,,2025-10-16
A00001016,L000873,C02008,CL042,2025-09-22,Push,No Answer,,,2025-09-25
A00001017,L000873,C02008,CL040,2025-07-22,Push,Wrong Number,,,2025-07-29
A00001018,L000873,C02008,CL029,2025-09-28,Call,Refused,,,2025-10-08
A00001019,L000873,C02008,CL025,2025-08-30,Field Visit,Rescheduled,,,2025-09-09
A00001020,L000873,C02008,CL023,2025-07-25,Field Visit,Promise to Pay,2025-08-02,138217,2025-08-01
A00001021,L000873,C02008,CL026,2025-08-22,Field Visit,Refused,,,2025-08-27
A00001022,L000878,C01585,CL003,2025-11-27,SMS,Refused,,,2025-12-04
A00001023,L000878,C01585,CL005,2025-11-26,Call,No Answer,,,2025-11-29
A00001024,L000878,C01585,CL014,2025-11-27,Call,No Answer,,,2025-12-07
A00001025,L000878,C01585,CL006,2025-11-23,Field Visit,Rescheduled,,,2025-11-26
A00001026,L000878,C01585,CL015,2025-12-08,Field Visit,Promise to Pay,2025-12-20,356877,2025-12-17
A00001027,L000891,C01914,CL005,2025-12-16,Push,Paid,,,2025-12-25
A00001028,L000893,C01979,CL020,2025-11-29,Field Visit,Paid,,,2025-12-07
A00001029,L000893,C01979,CL016,2025-11-12,Call,Refused,,,2025-11-17
A00001030,L000893,C01979,CL030,2025-11-20,Call,No Answer,,,2025-11-29
A00001031,L000904,C01095,CL025,2025-12-21,Push,No Answer,,,2025-12-31
A00001032,L000904,C01095,CL025,2025-12-26,SMS,No Answer,,,2026-01-05
A00001033,L000904,C01095,CL029,2025-11-11,Call,Promise to Pay,2025-11-25,576914,2025-11-19
A00001034,L000904,C01095,CL025,2025-11-12,Call,Promise to Pay,2025-11-17,294869,2025-11-22
A00001035,L000907,C00014,CL026,2025-10-18,SMS,No Answer,,,2025-10-23
A00001036,L000907,C00014,CL030,2025-12-06,Field Visit,No Answer,,,2025-12-08
A00001037,L000907,C00014,CL017,2025-11-27,Push,No Answer,,,2025-12-06
A00001038,L000907,C00014,CL019,2025-11-02,Push,No Answer,,,2025-11-05
A00001039,L000907,C00014,CL016,2025-11-30,Call,Promise to Pay,2025-12-13,131090,2025-12-02
A00001040,L000908,C02496,CL012,2025-12-12,Field Visit,No Answer,,,2025-12-22
A00001041,L000911,C00616,CL012,2025-12-19,Call,Paid,,,2025-12-29
A00001042,L000911,C00616,CL003,2025-12-19,Call,Promise to Pay,2025-12-26,554684,2025-12-22
A00001043,L000911,C00616,CL009,2025-12-18,SMS,Promise to Pay,2025-12-29,283250,2025-12-24
A00001044,L000911,C00616,CL010,2025-12-19,Field Visit,No Answer,,,2025-12-25
A00001045,L000911,C00616,CL010,2025-12-20,Call,Wrong Number,,,2025-12-24
A00001046,L000914,C01345,CL027,2025-11-22,Call,No Answer,,,2025-11-26
A00001047,L000914,C01345,CL018,2025-12-09,Push,Promise to Pay,2025-12-21,209196,2025-12-18
A00001048,L000914,C01345,CL023,2025-12-19,Call,Refused,,,2025-12-21
A00001049,L000914,C01345,CL020,2025-11-27,Call,Promise to Pay,2025-12-01,188073,2025-12-05
A00001050,L000914,C01345,CL024,2025-11-17,Field Visit,Rescheduled,,,2025-11-19
A00001051,L000914,C01345,CL020,2025-11-28,Call,Refused,,,2025-12-05
A00001052,L000914,C01345,CL028,2025-11-14,Call,Rescheduled,,,2025-11-24
A00001053,L000915,C01333,CL018,2025-12-02,Push,Refused,,,2025-12-08
A00001054,L000915,C01333,CL024,2025-11-25,SMS,Paid,,,2025-12-02
A00001055,L000918,C00889,CL025,2025-11-25,Email,Rescheduled,,,2025-12-04
A00001056,L000918,C00889,CL024,2025-11-24,SMS,Promise to Pay,2025-12-06,2123242,2025-11-25
A00001057,L000918,C00889,CL018,2025-12-03,Field Visit,Paid,,,2025-12-07
A00001058,L000918,C00889,CL029,2025-12-12,Email,Paid,,,2025-12-17
A00001059,L000918,C00889,CL022,2025-12-05,SMS,Promise to Pay,2025-12-06,3284191,2025-12-14
A00001060,L000918,C00889,CL021,2025-12-08,Field Visit,Refused,,,2025-12-14
A00001061,L000918,C00889,CL027,2025-11-29,Call,Rescheduled,,,2025-12-02
A00001062,L000918,C00889,CL019,2025-11-29,Call,No Answer,,,2025-12-07
A00001063,L000925,C00222,CL008,2025-12-30,Call,Promise to Pay,2026-01-12,185300,2025-12-31
A00001064,L000925,C00222,CL010,2025-12-17,Call,Refused,,,2025-12-26
A00001065,L000925,C00222,CL005,2025-12-27,Field Visit,Refused,,,2026-01-05
A00001066,L000925,C00222,CL009,2025-12-15,Push,Refused,,,2025-12-16
A00001067,L000926,C01932,CL028,2025-12-24,SMS,No Answer,,,2025-12-25
A00001068,L000926,C01932,CL017,2025-11-18,Field Visit,No Answer,,,2025-11-20
A00001069,L000926,C01932,CL026,2025-12-17,Call,Promise to Pay,2025-12-30,183051,2025-12-18
A00001070,L000926,C01932,CL024,2025-10-26,Call,Promise to Pay,2025-11-02,395956,2025-11-05
A00001071,L000926,C01932,CL029,2025-11-02,Push,Paid,,,2025-11-06
A00001072,L000926,C01932,CL026,2025-11-03,Call,Paid,,,2025-11-08
A00001073,L000927,C00148,CL004,2025-12-13,Call,Rescheduled,,,2025-12-17
A00001074,L000927,C00148,CL003,2025-12-11,Push,Rescheduled,,,2025-12-13
A00001075,L000927,C00148,CL011,2025-12-14,Push,Wrong Number,,,2025-12-17
A00001076,L000930,C00258,CL005,2025-12-24,Push,Promise to Pay,2026-01-07,1232729,2025-12-25
A00001077,L000930,C00258,CL010,2025-12-08,SMS,Promise to Pay,2025-12-14,989414,2025-12-11
A00001078,L000930,C00258,CL002,2025-12-28,Call,Paid,,,2025-12-29
A00001079,L000931,C00554,CL007,2025-12-03,Call,Paid,,,2025-12-10
A00001080,L000935,C02331,CL006,2025-12-24,Email,Rescheduled,,,2025-12-26
A00001081,L000935,C02331,CL013,2025-12-27,Call,No Answer,,,2025-12-28
A00001082,L000935,C02331,CL015,2025-12-24,Field Visit,Paid,,,2025-12-31
A00001083,L000938,C01091,CL009,2025-12-18,Call,Paid,,,2025-12-23
A00001084,L000938,C01091,CL011,2025-12-10,Email,Promise to Pay,2025-12-12,121203,2025-12-19
A00001085,L000938,C01091,CL007,2025-12-19,Call,Wrong Number,,,2025-12-27
A00001086,L000938,C01091,CL014,2025-12-27,Push,Wrong Number,,,2026-01-03
A00001087,L000939,C01695,CL020,2025-11-11,Call,Paid,,,2025-11-15
A00001088,L000939,C01695,CL030,2025-11-27,Email,No Answer,,,2025-12-02
A00001089,L000939,C01695,CL026,2025-11-20,Call,Paid,,,2025-11-30
A00001090,L000939,C01695,CL026,2025-12-09,SMS,No Answer,,,2025-12-18
